X,Y,U,V,absV,
Rectangular zone
-1.78551,0,0.0207348,0.0847566,0.126142,
-1.71662,0,-0.235719,-0.356911,0.516127,
-1.64773,0,-0.0474095,-0.0263097,0.0954516,
-1.57884,0,0.142228,-0.0812803,0.314015,
-1.50996,0,0.537137,-0.0916332,0.547598,
-1.44107,0,-0.0496475,0.202648,0.367571,
-1.37218,0,0.170465,-0.0575519,0.220462,
-1.30329,0,0.363564,-0.0591718,0.407063,
-1.2344,0,0.708792,0.0153756,0.71274,
-1.16551,0,0.560213,-0.100876,0.652873,
-1.09662,0,0.452484,0.0429405,0.457495,
-1.02773,0,1.0303,-0.0931877,1.12002,
-0.958841,0,4.28446,-1.08651,4.42692,
-0.889952,0,3.95135,-1.35472,4.2475,
-0.821062,0,9.86926,-3.23043,10.4678,
-0.752173,0,8.61272,-2.32127,9.00344,
-0.683284,0,12.3675,-1.63293,12.8116,
-0.614395,0,9.34831,-0.511711,9.62401,
-0.545505,0,0.357527,-0.0195541,0.367565,
-0.476616,0,0,0,0,
-0.407727,0,0,0,0,
-0.338837,0,0,0,0,
-0.269948,0,0,0,0,
-0.201059,0,0,0,0,
-0.132169,0,0,0,0,
-0.06328,0,0,0,0,
0.00560927,0,0,0,0,
0.0744986,0,0,0,0,
0.143388,0,0,0,0,
0.212277,0,0,0,0,
0.281167,0,0,0,0,
0.350056,0,0,0,0,
0.418945,0,0,0,0,
0.487834,0,-2.61303e-005,-1.66279e-005,3.09722e-005,
0.556724,0,-0.164279,-0.102496,0.193947,
0.625613,0,-3.02659,-1.86428,3.56398,
0.694502,0,-2.54651,-1.43872,2.95298,
0.763392,0,-2.20173,-1.23404,2.71805,
0.832281,0,-0.75134,-2.41831,2.58661,
0.90117,0,-1.90695,-0.444447,1.95905,
0.97006,0,-2.08976,-0.528658,2.15625,
1.03895,0,-1.57878,-0.247505,1.60365,
1.10784,0,-0.326467,-0.246902,0.527366,
1.17673,0,0.0825087,-0.373405,0.387275,
1.24562,0,0.00733845,-0.198386,0.277917,
1.31451,0,-0.393333,-0.0602422,0.443339,
1.3834,0,-0.281817,-0.0682188,0.290899,
1.45228,0,-0.327466,0.0341795,0.344259,
1.52117,0,-0.439924,0.131003,0.462017,
1.59006,0,-0.230824,-0.100442,0.281382,
-1.78551,0.0423311,0.245899,0.172308,0.302471,
-1.71662,0.0423311,0.203756,-0.0349811,0.280226,
-1.64773,0.0423311,0.288574,-0.0654861,0.359446,
-1.57884,0.0423311,0.372934,-0.0177516,0.386822,
-1.50996,0.0423311,0.271745,0.115706,0.303945,
-1.44107,0.0423311,-0.397992,0.798319,0.913904,
-1.37218,0.0423311,0.535308,-0.288886,0.644236,
-1.30329,0.0423311,0.310926,0.0703884,0.324381,
-1.2344,0.0423311,0.569827,-0.13759,0.614816,
-1.16551,0.0423311,1.10551,-0.190889,1.13077,
