X,Y,U,V,absV,
Rectangular zone
-1.734,0,-0.0580035,-0.0998536,0.263535,
-1.66512,0,-0.10671,0.0067076,0.174416,
-1.59624,0,0.0500211,-0.0440669,0.198809,
-1.52736,0,0.175779,-0.0623413,0.271041,
-1.45847,0,0.219225,-0.077879,0.332228,
-1.38959,0,0.750118,-0.00527655,0.830393,
-1.32071,0,0.469133,-0.0294809,0.561285,
-1.25183,0,0.944634,-0.1063,0.96421,
-1.18294,0,1.10357,-0.0113218,1.11147,
-1.11406,0,0.887504,-0.164188,0.924809,
-1.04518,0,1.44963,-0.218462,1.47672,
-0.976296,0,2.02383,-0.227965,2.03989,
-0.907413,0,2.06571,-0.315317,2.10254,
-0.838531,0,2.72123,-0.557418,2.80649,
-0.769648,0,2.9251,-0.57229,3.14857,
-0.700766,0,2.00481,-0.658973,2.46806,
-0.631884,0,0.56976,-0.525617,1.00565,
-0.563001,0,0.00532023,-0.0121969,0.0315754,
-0.494119,0,-2.20079e-006,-1.67859e-006,2.76788e-006,
-0.425236,0,0,0,0,
-0.356354,0,0,0,0,
-0.287471,0,0,0,0,
-0.218589,0,0,0,0,
-0.149706,0,0,0,0,
-0.080824,0,0,0,0,
-0.0119416,0,0,0,0,
0.0569409,0,0,0,0,
0.125823,0,0,0,0,
0.194706,0,0,0,0,
0.263588,0,0,0,0,
0.332471,0,0,0,0,
0.401353,0,0,0,0,
0.470236,0,0,0,0,
0.539118,0,-0.0397324,-0.0187142,0.0439197,
0.608,0,-2.24139,-1.04143,2.47214,
0.676883,0,-6.68399,-3.23907,7.43707,
0.745765,0,-4.70024,-1.97223,5.11696,
0.814648,0,-3.39731,-1.15204,3.62074,
0.88353,0,-2.00007,-0.334852,2.08039,
0.952413,0,-1.2939,-0.0416794,1.32353,
1.0213,0,-0.952659,-0.0586088,0.958487,
1.09018,0,-0.820206,-0.069579,0.823692,
1.15906,0,-0.609181,-0.0862651,0.61883,
1.22794,0,-0.481551,-0.0490249,0.493782,
1.29682,0,-0.498989,-0.00218818,0.525663,
1.36571,0,-0.0744911,-0.0451735,0.153814,
1.43459,0,-0.291602,-0.135456,0.356594,
1.50347,0,-0.287085,-0.0323048,0.316937,
1.57235,0,-0.108601,0.0649414,0.365305,
1.64124,0,0.31109,-0.152232,0.346341,
-1.734,0.044487,-0.0415899,-0.165357,0.271534,
-1.66512,0.044487,-0.0752248,-0.00228086,0.204738,
-1.59624,0.044487,0.0704454,-0.0494256,0.179924,
-1.52736,0.044487,0.245,-0.0309962,0.329591,
-1.45847,0.044487,0.0831775,-0.099018,0.236339,
-1.38959,0.044487,0.858704,-0.00837167,0.934635,
-1.32071,0.044487,0.446252,-0.0341462,0.516662,
-1.25183,0.044487,1.06386,-0.0988015,1.07491,
-1.18294,0.044487,0.884454,0.0684511,0.929661,
-1.11406,0.044487,0.632187,-0.173955,0.677762,
-1.04518,0.044487,1.69107,-0.26516,1.71468,
-0.976296,0.044487,1.96153,-0.183978,1.97242,
-0.907413,0.044487,1.9889,-0.308127,2.01736,
-0.838531,0.044487,3.24242,-0.740662,3.33716,
-0.769648,0.044487,3.28697,-0.693704,3.47397,
-0.700766,0.044487,2.29685,-0.359415,3.10777,
-0.631884,0.044487,1.02173,-0.472895,1.91331,
-0.563001,0.044487,-0.00153858,-0.0312045,0.0726332,
-0.494119,0.044487,-0.000511886,-0.00265206,0.00596807,
-0.425236,0.044487,-0.00122549,-0.000934707,0.00154127,
-0.356354,0.044487,0,0,0,
-0.287471,0.044487,0,0,0,
-0.218589,0.044487,0,0,0,
