X,Y,U,V,absV,
Rectangular zone
-1.9971,0,-0.439153,0.185548,0.494525,
-1.91493,0,-0.427028,0.172477,0.475773,
-1.83275,0,-0.545306,0.159303,0.576141,
-1.75057,0,-0.483054,0.0902719,0.509188,
-1.6684,0,-0.619016,0.185334,0.667238,
-1.58622,0,-0.753892,0.167728,0.778981,
-1.50404,0,-0.926776,0.205479,0.954994,
-1.42187,0,-1.05815,0.316623,1.11153,
-1.33969,0,-1.03596,0.354803,1.1087,
-1.25751,0,-1.09997,0.356547,1.17252,
-1.17533,0,-1.17039,0.3452,1.2394,
-1.09316,0,-1.24884,0.257663,1.28504,
-1.01098,0,-1.12625,0.158939,1.17846,
-0.928804,0,-0.993377,0.218323,1.01907,
-0.846627,0,-0.818133,0.227081,0.860171,
-0.76445,0,-0.522453,0.0268728,0.52996,
-0.682273,0,-0.182083,-0.0639751,0.19688,
-0.600096,0,-0.0176394,-0.00777363,0.019972,
-0.517919,0,-5.19908e-005,-2.36089e-005,5.89529e-005,
-0.435742,0,0,0,0,
-0.353566,0,0,0,0,
-0.271389,0,0,0,0,
-0.189212,0,0,0,0,
-0.107035,0,0,0,0,
-0.0248578,0,0,0,0,
0.0573191,0,0,0,0,
0.139496,0,0,0,0,
0.221673,0,0,0,0,
0.30385,0,0,0,0,
0.386027,0,0,0,0,
0.468204,0,0,0,0,
0.550381,0,0.000164371,0.000567771,0.00070454,
0.632558,0,0.00543142,0.0291963,0.0401694,
0.714735,0,0.0720656,0.13448,0.198283,
0.796911,0,0.026069,0.177328,0.212782,
0.879088,0,0.00693406,0.151059,0.344864,
0.961265,0,-0.104879,0.0796568,0.33216,
1.04344,0,-0.242965,0.11257,0.372831,
1.12562,0,-0.266445,0.116558,0.339832,
1.2078,0,-0.346266,0.0801201,0.382533,
1.28997,0,-0.476949,0.119876,0.503411,
1.37215,0,-0.38025,0.0326932,0.486858,
1.45433,0,-0.427788,0.0585489,0.475416,
1.5365,0,-0.452079,0.0586105,0.489656,
1.61868,0,-0.532465,0.0382856,0.570778,
1.70086,0,-0.640599,0.0830481,0.654368,
1.78303,0,-0.656939,0.0373667,0.667041,
1.86521,0,-0.685461,0.0138386,0.690641,
1.94739,0,-0.723392,-0.0452364,0.732915,
2.02957,0,-0.730744,-0.0540881,0.742749,
-1.9971,0.0614525,-0.43492,0.177187,0.487444,
-1.91493,0.0614525,-0.365856,0.120096,0.407387,
-1.83275,0.0614525,-0.490807,0.169818,0.5298,
-1.75057,0.0614525,-0.464638,0.0812992,0.489347,
-1.6684,0.0614525,-0.664771,0.162459,0.695715,
-1.58622,0.0614525,-0.701096,0.215841,0.754917,
-1.50404,0.0614525,-0.950038,0.261015,0.991952,
-1.42187,0.0614525,-1.03836,0.278641,1.07861,
-1.33969,0.0614525,-1.03942,0.345047,1.10807,
-1.25751,0.0614525,-1.0973,0.347052,1.16616,
-1.17533,0.0614525,-1.18048,0.395812,1.26377,
-1.09316,0.0614525,-1.23542,0.297833,1.27228,
-1.01098,0.0614525,-1.26844,0.255171,1.35195,
-0.928804,0.0614525,-1.21532,0.141571,1.26605,
-0.846627,0.0614525,-1.01387,0.273414,1.06343,
-0.76445,0.0614525,-0.950355,0.108336,0.976534,
-0.682273,0.0614525,-0.345319,-0.112123,0.373007,
-0.600096,0.0614525,-0.0412154,-0.0197612,0.0468654,
-0.517919,0.0614525,-0.00447309,-0.00170061,0.00499289,
